Competency Code,Domain #,Domain Name,Skill Area Code,Skill Area Name,Competency Title,Proficiency Level,Knowledge,Application,Indicator 1,Indicator 2,Indicator 3,Indicator 4,Indicator 5,Indicator 6
2.6.5,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,AI model interpretation and explainability,ADVANCED,Expert in explainable AI and model transparency,Ensures AI transparency in systems,Implements comprehensive model interpretation frameworks,Uses attention mechanisms and saliency maps,Develops model cards documenting AI systems,Ensures AI fairness and bias detection,Uses counterfactual explanations,Balances model performance with interpretability
2.6.5,2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,AI model interpretation and explainability,EXPERT,Shapes explainable AI practice,Provides leadership on AI transparency,Develops innovative interpretability approaches,Influences AI transparency standards,Leads responsible AI initiatives,Publishes influential explainable AI research,Provides expert consultation on AI ethics,Advances responsible AI in environmental applications
2.7.1,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Augmented reality field applications,FOUNDATIONAL,Understands AR concepts and applications,Uses AR applications,Uses AR apps on mobile devices,Views AR overlays in the field,Understands AR capabilities and limitations,Uses AR for navigation or information display,Recognizes potential AR applications,Tests AR applications in field settings
2.7.1,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Augmented reality field applications,INTERMEDIATE,Applies AR development principles,Develops AR applications,Creates simple AR experiences,"Uses AR development platforms (Unity, Vuforia, ARKit/ARCore)",Develops location-based AR applications,Integrates GIS data with AR,Creates 3D models for AR visualization,Tests AR applications with users
2.7.1,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Augmented reality field applications,ADVANCED,Expert in AR systems and applications,Develops sophisticated AR solutions,Develops complex AR applications,Integrates real-time data with AR,"Uses advanced AR features (occlusion, persistence)","Develops AR for wearable devices (HoloLens, smart glasses)",Creates multi-user AR experiences,Evaluates AR effectiveness for tasks
2.7.1,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Augmented reality field applications,EXPERT,Shapes AR applications in environmental field,Provides leadership on AR technology,Develops innovative AR approaches,Influences AR standards and applications,Leads major AR initiatives,Publishes influential AR research,Provides expert AR consultation,Advances AR in environmental management
2.7.2,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Virtual reality environmental education,FOUNDATIONAL,Understands VR concepts and educational applications,Uses VR experiences,Experiences VR educational content,Operates VR equipment safely,Understands VR capabilities for education,Identifies educational VR opportunities,Provides feedback on VR experiences,Assists with VR demonstrations
2.7.2,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Virtual reality environmental education,INTERMEDIATE,Applies VR development and educational design,Creates VR educational experiences,Develops VR experiences using Unity or Unreal Engine,Creates 360° video content for VR,Designs educational VR experiences,Uses photogrammetry to create VR environments,Develops interactive VR experiences,Tests VR with learners
2.7.2,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Virtual reality environmental education,ADVANCED,Expert in VR development and immersive learning,Develops comprehensive VR programs,Develops sophisticated VR simulations,Creates multi-user VR experiences,Develops VR with adaptive learning,Integrates VR with curriculum,Uses VR analytics to assess learning,Develops accessible VR experiences
2.7.2,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Virtual reality environmental education,EXPERT,Shapes VR applications in environmental education,Provides leadership on immersive learning,Develops innovative VR approaches,Influences VR standards in education,Leads major VR initiatives,Publishes influential VR research,Provides expert VR consultation,Advances VR in environmental education
2.7.3,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Digital twin development and management,FOUNDATIONAL,Understands digital twin concepts,Uses digital twins,Navigates digital twin interfaces,Views real-time data in digital twins,Understands digital twin capabilities,Updates data in digital twins,Recognizes digital twin applications,Provides feedback on digital twin usability
2.7.3,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Digital twin development and management,INTERMEDIATE,Applies digital twin architecture and integration,Develops simple digital twins,Creates basic digital twin representations,Integrates sensor data streams,Develops 3D models for digital twins,Connects digital twins to databases,Implements data visualization in twins,Uses digital twin platforms
2.7.3,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Digital twin development and management,ADVANCED,Expert in digital twin systems and simulation,Develops comprehensive digital twins,Develops sophisticated digital twin systems,Integrates real-time IoT data streams,Implements simulation and scenario testing,Uses AI/ML within digital twins,Develops predictive digital twins,Creates user interfaces for digital twins
2.7.3,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Digital twin development and management,EXPERT,Shapes digital twin applications in environmental field,Provides leadership on digital twins,Develops innovative digital twin approaches,Influences digital twin standards,Leads major digital twin initiatives,Publishes influential digital twin research,Provides expert digital twin consultation,Advances digital twins in environmental management
2.7.4,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Immersive visualization design,FOUNDATIONAL,Understands immersive visualization concepts,Creates simple immersive visuals,Creates 3D visualizations,Uses visualization software,Understands immersive design principles,Develops simple 360° content,Imports 3D models into immersive platforms,Tests visualizations with users
2.7.4,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Immersive visualization design,INTERMEDIATE,Applies immersive visualization design,Develops immersive visualizations,Develops interactive 3D environments,"Uses game engines for visualization (Unity, Unreal)",Creates data-driven visualizations,Processes photogrammetry and LiDAR data,Develops VR/AR visualizations,Optimizes visualizations for performance
2.7.4,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Immersive visualization design,ADVANCED,Expert in immersive visualization and user experience,Develops sophisticated visualization systems,Develops complex immersive experiences,Creates real-time data visualizations,Implements advanced rendering techniques,Develops accessible immersive experiences,Uses procedural generation for environments,Integrates multiple data sources
2.7.4,2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,Immersive visualization design,EXPERT,Shapes immersive visualization practice,Provides leadership on immersive media,Develops innovative visualization approaches,Influences visualization standards,Leads major visualization initiatives,Publishes influential visualization research,Provides expert visualization consultation,Advances immersive visualization in environmental communication
